simulation_index,country,age_testing_strategy,WHO_region,pandemic,time_of_pandemic,total_cost_pand_ngiv,total_cost_epid_ngiv,vaccs_pand_ngiv,vaccs_epid_ngiv,total_cost_pand_base,total_cost_epid_base,vaccs_pand_base,vaccs_epid_base,threshold_cost_pand,threshold_cost_epid,tc_diff,sens_a
1,AGO,2,AFR,1918,11,2591595668.858315,324313355.9896481,34736656.395192176,34736656.395192176,3451982364.5327044,798595580.1596495,102643778.35570775,102643778.35570775,24.768840324927577,13.653652175793344,11.115188149134234,50% coverage
1,AGO,2,AFR,1918,12,2582611353.9179244,338297848.8135673,37294859.49993248,37294859.49993248,3465487349.3920655,840152516.788576,111612352.81368954,111612352.81368954,23.672860209481133,13.456403233692763,10.21645697578837,50% coverage
1,AGO,2,AFR,1918,13,2573339241.736154,352106598.2055208,39897855.06691078,39897855.06691078,3492929492.112881,895718881.6983691,120781531.4297,120781531.4297,23.048613737117606,13.625100461696055,9.42351327542155,50% coverage
1,AGO,2,AFR,1918,14,2563972674.3372197,365927938.6811066,42581941.827500515,42581941.827500515,3505634215.712511,936588817.0327767,130209209.34211048,130209209.34211048,22.114105204266238,13.401476162440355,8.712629041825883,50% coverage
1,AGO,2,AFR,1918,15,2554583915.028239,365927938.6811066,45279750.77316025,42581941.827500515,3515689676.3303976,936588817.0327767,139800225.5741635,130209209.34211048,21.22595078133376,12.603003961098025,8.622946820235736,50% coverage
1,AGO,2,AFR,1918,16,2544498844.6536613,392829742.92822367,48026477.03707782,48026477.03707782,3531873202.221497,1019140986.7347732,149611185.63334358,149611185.63334358,20.55895869283842,13.040957456092798,7.518001236745622,50% coverage
1,AGO,2,AFR,1918,17,2535031111.0111938,406819021.31759477,50824015.388966806,50824015.388966806,3561824805.1535,1077179469.718883,159648717.96676826,159648717.96676826,20.20292348575845,13.18983640452018,7.01308708123827,50% coverage
1,AGO,2,AFR,1918,18,2524637246.160285,419866008.1003664,53673801.349241726,53673801.349241726,3575488634.9662876,1118839207.1145835,169919312.5824651,169919312.5824651,19.578478929941646,13.022614039690927,6.555864890250719,50% coverage
1,AGO,2,AFR,1918,19,2514134704.4058323,432903400.2802919,56577243.741650775,56577243.741650775,3595795968.9072566,1167433567.1112914,180429480.88657138,180429480.88657138,19.118309641251255,12.982784565912963,6.1355250753382915,50% coverage
1,AGO,2,AFR,1918,20,2516243513.8716016,458214781.4156568,59574411.48973728,59574411.48973728,3641017808.238221,1239988443.658881,191244637.5024772,191244637.5024772,18.880157877184928,13.12264179693824,5.757516080246688,50% coverage
1,AGO,2,AFR,1918,21,2511353969.3261447,476224701.65610784,62589971.80255039,62589971.80255039,3650480307.869718,1276905612.7678099,202254806.29942203,202254806.29942203,18.199821884200894,12.792479179213757,5.407342704987137,50% coverage
1,AGO,2,AFR,1918,22,2500562135.102858,488798969.70755947,65662831.006842606,65662831.006842606,3659621354.589457,1313702475.2090359,213524118.17998168,213524118.17998168,17.651679065829732,12.56271611888794,5.088962946941793,50% coverage
1,AGO,2,AFR,1918,23,2489918818.4888477,501176965.21498215,68794843.77296926,68794843.77296926,3676964810.7364225,1358111290.957937,225059484.21565783,225059484.21565783,17.254868637611278,12.456374326118608,4.79849431149267,50% coverage
1,AGO,2,AFR,1918,24,2479214813.2138896,513410474.9130007,71987379.94622251,71987379.94622251,3694154081.057904,1402293946.4781249,236867732.2642909,236867732.2642909,16.877114693598003,12.34776807030838,4.529346623289623,50% coverage
1,AGO,2,AFR,1918,25,2468557937.881135,525516970.55663675,75241803.90806709,75241803.90806709,3703123755.228715,1438025587.998429,248955782.98708135,248955782.98708135,16.407977390547586,12.127681289469418,4.280296101078168,50% coverage
1,AGO,2,AFR,1918,26,2458113299.651499,537780941.6677366,78602814.83048499,78602814.83048499,3712289150.8812475,1474034918.0978348,261398374.8640472,261398374.8640472,15.955864353388709,11.911201633799319,4.04466271958939,50% coverage
1,AGO,2,AFR,1918,27,2448736833.2530556,550348059.7170274,81985842.7353085,81985842.7353085,3746303501.654619,1533907286.1165588,274068550.4195084,274068550.4195084,15.826716236738102,11.996695936577183,3.8300203001609194,50% coverage
1,GBR,2,EUR,1918,1,301957598562.0909,14224057858.037775,7326984.114179065,7326984.114179065,335968481491.3365,15545816572.272732,14744473.173328124,14744473.173328124,4641.866612407181,180.39601200678325,4461.470600400397,50% coverage
1,GBR,2,EUR,1918,2,297734719294.04486,19074442291.791943,8659075.035222549,8659075.035222549,332227667520.331,21546131196.945213,19288423.830525823,19288423.830525823,3983.4448928989586,285.4449112750696,3697.999981623889,50% coverage
1,GBR,2,EUR,1918,3,291054613798.4994,19311542137.356033,9991797.103548853,9991797.103548853,326480866291.3921,22574625516.58021,23799201.816554032,23799201.816554032,3545.5336137990757,326.57622501814086,3218.9573887809347,50% coverage
1,GBR,2,EUR,1918,4,289836602373.7276,27615417159.10306,11288393.561178258,11288393.561178258,326936650465.74304,33294129389.739033,28229905.877334885,28229905.877334885,3286.565789095594,503.0576051286468,2783.5081839669474,50% coverage
1,GBR,2,EUR,1918,5,285155900317.4971,32009385907.600967,12568762.862111181,12568762.862111181,322176204660.7362,38463214331.926414,32609457.405287415,32609457.405287415,2945.4214984704404,513.4815968070062,2431.9399016634343,50% coverage
