"","country","iso3c","WHO_region","income_g","year","doses","pop_name","vacc_scenario"
"196","Mexico","MEX","AMRO","Upper middle income",2024,8848296.3261,"children","0"
"197","Peru","PER","AMRO","Upper middle income",2024,2286287.055,"children","0"
"198","Cuba","CUB","AMRO","Upper middle income",2024,1724442.175,"children","0"
"199","Kenya","KEN","AFRO","Lower middle income",2024,1422041,"children","0"
"200","Korea, Republic of","KOR","WPRO","High income",2024,5329240.74735,"children","0"
"201","Colombia","COL","AMRO","Upper middle income",2024,2342337.03,"children","0"
"202","Argentina","ARG","AMRO","Upper middle income",2024,1802066.2119,"children","0"
"203","El Salvador","SLV","AMRO","Upper middle income",2024,1088332.635,"children","0"
"204","Canada","CAN","AMRO","High income",2024,2192898.15,"children","0"
"205","Kazakhstan","KAZ","EURO","Upper middle income",2024,668469.6623,"children","0"
"206","Israel","ISR","EURO","High income",2024,545276.07,"children","0"
"207","Iraq","IRQ","EMRO","Upper middle income",2024,436303.22257438,"children","0"
"208","Honduras","HND","AMRO","Lower middle income",2024,567637.77525,"children","0"
"209","Bolivia","BOL","AMRO","Lower middle income",2024,764537.0534,"children","0"
"210","Egypt","EGY","EMRO","Lower middle income",2024,221916.827572358,"children","0"
"211","Thailand","THA","SEARO","Upper middle income",2024,509216.568,"children","0"
"212","Bhutan","BTN","SEARO","Lower middle income",2024,168058.59255,"children","0"
"213","Austria","AUT","EURO","High income",2024,163621.417219483,"children","0"
"214","Guatemala","GTM","AMRO","Upper middle income",2024,111021.236,"children","0"
"215","Dominican Republic","DOM","AMRO","Upper middle income",2024,100894.3372,"children","0"
"216","Tunisia","TUN","EMRO","Lower middle income",2024,84942.256050421,"children","0"
"217","United Arab Emirates","ARE","EMRO","High income",2024,110423.548175224,"children","0"
"218","Serbia","SRB","EURO","Upper middle income",2024,130013.929032741,"children","0"
"219","Italy","ITA","EURO","High income",2024,2132080.94155657,"children","0"
"220","Brunei Darussalam","BRN","WPRO","High income",2024,80116.322,"children","0"
"221","Turkmenistan","TKM","EURO","Upper middle income",2024,63726.9432120424,"children","0"
"222","Iran, Islamic Republic of","IRN","EMRO","Lower middle income",2024,36344.9993718725,"children","0"
"223","Poland","POL","EURO","High income",2024,41759.592,"children","0"
"224","Paraguay","PRY","AMRO","Upper middle income",2024,162269.04,"children","0"
"225","Latvia","LVA","EURO","High income",2024,25948.632,"children","0"
"226","Ecuador","ECU","AMRO","Upper middle income",2024,1210333.08,"children","0"
"227","Georgia","GEO","EURO","Upper middle income",2024,29526.8405819212,"children","0"
"228","Kyrgyzstan","KGZ","EURO","Lower middle income",2024,27070.495,"children","0"
"229","Trinidad and Tobago","TTO","AMRO","High income",2024,24835.9359785834,"children","0"
"230","Belize","BLZ","AMRO","Upper middle income",2024,24840.9,"children","0"
"231","Romania","ROU","EURO","High income",2024,26266.1652,"children","0"
"232","Malaysia","MYS","WPRO","Upper middle income",2024,16476.7410871492,"children","0"
"233","Bahrain","BHR","EMRO","High income",2024,16278.6093892765,"children","0"
"234","Switzerland","CHE","EURO","High income",2024,22540.7591863603,"children","0"
"235","Ukraine","UKR","EURO","Lower middle income",2024,11345.463,"children","0"
"236","Slovakia","SVK","EURO","High income",2024,12462.468,"children","0"
"237","Lithuania","LTU","EURO","High income",2024,16369.5978,"children","0"
"238","Armenia","ARM","EURO","Upper middle income",2024,18090.6885,"children","0"
"239","Jordan","JOR","EMRO","Lower middle income",2024,9688.87559362284,"children","0"
"240","Saudi Arabia","SAU","EMRO","High income",2024,1126258.5884,"children","0"
"241","Estonia","EST","EURO","High income",2024,11724.330075,"children","0"
"242","Bulgaria","BGR","EURO","Upper middle income",2024,12076.2496962428,"children","0"
"243","Albania","ALB","EURO","Upper middle income",2024,5675.905,"children","0"
"244","Bahamas","BHS","AMRO","High income",2024,4014.26498881538,"children","0"
"245","Hungary","HUN","EURO","High income",2024,2498.73203980392,"children","0"
"246","Mauritius","MUS","AFRO","Upper middle income",2024,8082.269825,"children","0"
"247","Jamaica","JAM","AMRO","Upper middle income",2024,2066.257325,"children","0"
"248","Grenada","GRD","AMRO","Upper middle income",2024,367.225644413917,"children","0"
"249","Macedonia, the former Yugoslav Republic of","MKD","EURO","Upper middle income",2024,164.2824,"children","0"
"250","Dominica","DMA","AMRO","Upper middle income",2024,144.41,"children","0"
"251","Palau","PLW","WPRO","High income",2024,257.947490300457,"children","0"
"252","Antigua And Barbuda","ATG","AMRO","High income",2024,29.2031598484289,"children","0"
"253","Afghanistan","AFG","EMRO","Low income",2024,0,"children","0"
"254","Algeria","DZA","AFRO","Lower middle income",2024,0,"children","0"
"255","Angola","AGO","AFRO","Lower middle income",2024,0,"children","0"
"256","Azerbaijan","AZE","EURO","Upper middle income",2024,0,"children","0"
"257","Bangladesh","BGD","SEARO","Lower middle income",2024,0,"children","0"
"258","Barbados","BRB","AMRO","High income",2024,0,"children","0"
"259","Belgium","BEL","EURO","High income",2024,0,"children","0"
"260","Benin","BEN","AFRO","Lower middle income",2024,0,"children","0"
"261","Botswana","BWA","AFRO","Upper middle income",2024,0,"children","0"
"262","Burkina Faso","BFA","AFRO","Low income",2024,0,"children","0"
"263","Burundi","BDI","AFRO","Low income",2024,0,"children","0"
"264","Cambodia","KHM","WPRO","Lower middle income",2024,0,"children","0"
"265","Cameroon","CMR","AFRO","Lower middle income",2024,0,"children","0"
"266","Cape Verde","CPV","AFRO","Lower middle income",2024,0,"children","0"
"267","Central African Republic","CAF","AFRO","Low income",2024,0,"children","0"
"268","Chad","TCD","AFRO","Low income",2024,0,"children","0"
"269","Comoros","COM","AFRO","Lower middle income",2024,0,"children","0"
"270","Congo","COG","AFRO","Lower middle income",2024,0,"children","0"
"271","Côte d'Ivoire","CIV","AFRO","Lower middle income",2024,0,"children","0"
"272","Croatia","HRV","EURO","High income",2024,0,"children","0"
"273","Czech Republic","CZE","EURO","High income",2024,0,"children","0"
"274","Democratic Peoples Republic of Korea","PRK","SEARO","Low income",2024,0,"children","0"
"275","Democratic Republic of the Congo","COD","AFRO","Low income",2024,0,"children","0"
"276","Djibouti","DJI","EMRO","Lower middle income",2024,0,"children","0"
"277","Equatorial Guinea","GNQ","AFRO","Upper middle income",2024,0,"children","0"
"278","Eritrea","ERI","AFRO","Low income",2024,0,"children","0"
"279","Eswatini","SWZ","AFRO","Lower middle income",2024,0,"children","0"
"280","Ethiopia","ETH","AFRO","Low income",2024,0,"children","0"
"281","Fiji","FJI","WPRO","Upper middle income",2024,0,"children","0"
"282","France","FRA","EURO","High income",2024,0,"children","0"
"283","Gabon","GAB","AFRO","Upper middle income",2024,0,"children","0"
"284","Gambia","GMB","AFRO","Low income",2024,0,"children","0"
"285","Germany","DEU","EURO","High income",2024,0,"children","0"
"286","Ghana","GHA","AFRO","Lower middle income",2024,0,"children","0"
"287","Guinea","GIN","AFRO","Lower middle income",2024,0,"children","0"
"288","Guinea-Bissau","GNB","AFRO","Low income",2024,0,"children","0"
"289","Guyana","GUY","AMRO","High income",2024,0,"children","0"
"290","Haiti","HTI","AMRO","Lower middle income",2024,0,"children","0"
"291","India","IND","SEARO","Lower middle income",2024,0,"children","0"
"292","Indonesia","IDN","SEARO","Upper middle income",2024,0,"children","0"
"293","Japan","JPN","WPRO","High income",2024,0,"children","0"
"294","Kiribati","KIR","WPRO","Lower middle income",2024,0,"children","0"
"295","Kuwait","KWT","EMRO","High income",2024,0,"children","0"
"296","Lao People's Democratic Republic","LAO","WPRO","Lower middle income",2024,0,"children","0"
"297","Lebanon","LBN","EMRO","Lower middle income",2024,0,"children","0"
"298","Lesotho","LSO","AFRO","Lower middle income",2024,0,"children","0"
"299","Liberia","LBR","AFRO","Low income",2024,0,"children","0"
"300","Libya","LBY","EMRO","Upper middle income",2024,0,"children","0"
"301","Luxembourg","LUX","EURO","High income",2024,0,"children","0"
"302","Madagascar","MDG","AFRO","Low income",2024,0,"children","0"
"303","Malawi","MWI","AFRO","Low income",2024,0,"children","0"
"304","Maldives","MDV","SEARO","Upper middle income",2024,0,"children","0"
"305","Mali","MLI","AFRO","Low income",2024,0,"children","0"
"306","Mauritania","MRT","AFRO","Lower middle income",2024,0,"children","0"
"307","Micronesia, Federated States of","FSM","WPRO","Lower middle income",2024,0,"children","0"
"308","Moldova, Republic of","MDA","EURO","Upper middle income",2024,0,"children","0"
"309","Montenegro","MNE","EURO","Upper middle income",2024,0,"children","0"
"310","Morocco","MAR","EMRO","Lower middle income",2024,0,"children","0"
"311","Mozambique","MOZ","AFRO","Low income",2024,0,"children","0"
"312","Myanmar","MMR","SEARO","Lower middle income",2024,0,"children","0"
"313","Namibia","NAM","AFRO","Upper middle income",2024,0,"children","0"
"314","Nepal","NPL","SEARO","Lower middle income",2024,0,"children","0"
"315","Netherlands","NLD","EURO","High income",2024,0,"children","0"
"316","Nicaragua","NIC","AMRO","Lower middle income",2024,0,"children","0"
"317","Niger","NER","AFRO","Low income",2024,0,"children","0"
"318","Nigeria","NGA","AFRO","Lower middle income",2024,0,"children","0"
"319","Norway","NOR","EURO","High income",2024,0,"children","0"
"320","Oman","OMN","EMRO","High income",2024,0,"children","0"
"321","Pakistan","PAK","EMRO","Lower middle income",2024,0,"children","0"
"322","Papua New Guinea","PNG","SEARO","Lower middle income",2024,0,"children","0"
"323","Philippines","PHL","WPRO","Lower middle income",2024,0,"children","0"
"324","Portugal","PRT","EURO","High income",2024,0,"children","0"
"325","Rwanda","RWA","AFRO","Low income",2024,0,"children","0"
"326","Saint Lucia","LCA","AMRO","Upper middle income",2024,0,"children","0"
"327","Saint Vincent and the Grenadines","VCT","AMRO","Upper middle income",2024,0,"children","0"
"328","Samoa","WSM","WPRO","Lower middle income",2024,0,"children","0"
"329","Sao Tome And Principe","STP","AFRO","Lower middle income",2024,0,"children","0"
"330","Senegal","SEN","AFRO","Lower middle income",2024,0,"children","0"
"331","Seychelles","SYC","AFRO","High income",2024,0,"children","0"
"332","Singapore","SGP","WPRO","High income",2024,0,"children","0"
"333","Solomon Islands","SLB","WPRO","Lower middle income",2024,0,"children","0"
"334","Somalia","SOM","EMRO","Low income",2024,0,"children","0"
"335","South Africa","ZAF","AFRO","Upper middle income",2024,0,"children","0"
"336","South Sudan","SSD","AFRO","Low income",2024,0,"children","0"
"337","Spain","ESP","EURO","High income",2024,0,"children","0"
"338","Sri Lanka","LKA","SEARO","Lower middle income",2024,0,"children","0"
"339","Sudan","SDN","EMRO","Low income",2024,0,"children","0"
"340","Suriname","SUR","AMRO","Upper middle income",2024,0,"children","0"
"341","Sweden","SWE","EURO","High income",2024,0,"children","0"
"342","Syrian Arab Republic","SYR","EMRO","Low income",2024,0,"children","0"
"343","Tajikistan","TJK","EURO","Lower middle income",2024,0,"children","0"
"344","Tanzania, United Republic of","TZA","AFRO","Lower middle income",2024,0,"children","0"
"345","Timor-Leste","TLS","SEARO","Lower middle income",2024,0,"children","0"
"346","Togo","TGO","AFRO","Low income",2024,0,"children","0"
"347","Tonga","TON","WPRO","Upper middle income",2024,0,"children","0"
"348","Turkey","TUR","EURO","Upper middle income",2024,0,"children","0"
"349","Uganda","UGA","AFRO","Low income",2024,0,"children","0"
"350","Vanuatu","VUT","WPRO","Lower middle income",2024,0,"children","0"
"351","Venezuela","VEN","AMRO","Upper middle income",2024,0,"children","0"
"352","Viet Nam","VNM","WPRO","Lower middle income",2024,0,"children","0"
"353","Yemen","YEM","EMRO","Low income",2024,0,"children","0"
"354","Zambia","ZMB","AFRO","Lower middle income",2024,0,"children","0"
"355","Zimbabwe","ZWE","AFRO","Lower middle income",2024,0,"children","0"
